dhi,dni,ghi,gti,period_end,period
0,0,0,0,2007-01-06T19:00:00+00:00,PT60M
0,0,0,0,2007-01-06T20:00:00+00:00,PT60M
0,0,0,0,2007-01-06T21:00:00+00:00,PT60M
0,0,0,0,2007-01-06T22:00:00+00:00,PT60M
0,0,0,0,2007-01-06T23:00:00+00:00,PT60M
0,0,0,0,2007-01-07T00:00:00+00:00,PT60M
0,0,0,0,2007-01-07T01:00:00+00:00,PT60M
0,0,0,0,2007-01-07T02:00:00+00:00,PT60M
0,0,0,0,2007-01-07T03:00:00+00:00,PT60M
0,0,0,0,2007-01-07T04:00:00+00:00,PT60M
0,0,0,0,2007-01-07T05:00:00+00:00,PT60M
6,42,10,20,2007-01-07T06:00:00+00:00,PT60M
72,126,93,130,2007-01-07T07:00:00+00:00,PT60M
85,536,245,419,2007-01-07T08:00:00+00:00,PT60M
76,769,371,631,2007-01-07T09:00:00+00:00,PT60M
83,802,433,717,2007-01-07T10:00:00+00:00,PT60M
81,814,442,730,2007-01-07T11:00:00+00:00,PT60M
78,783,394,663,2007-01-07T12:00:00+00:00,PT60M
74,681,291,514,2007-01-07T13:00:00+00:00,PT60M
54,518,157,311,2007-01-07T14:00:00+00:00,PT60M
15,127,28,62,2007-01-07T15:00:00+00:00,PT60M
0,0,0,0,2007-01-07T16:00:00+00:00,PT60M
0,0,0,0,2007-01-07T17:00:00+00:00,PT60M
0,0,0,0,2007-01-07T18:00:00+00:00,PT60M
0,0,0,0,2007-01-07T19:00:00+00:00,PT60M
0,0,0,0,2007-01-07T20:00:00+00:00,PT60M
0,0,0,0,2007-01-07T21:00:00+00:00,PT60M
0,0,0,0,2007-01-07T22:00:00+00:00,PT60M
0,0,0,0,2007-01-07T23:00:00+00:00,PT60M
0,0,0,0,2007-01-08T00:00:00+00:00,PT60M
0,0,0,0,2007-01-08T01:00:00+00:00,PT60M
0,0,0,0,2007-01-08T02:00:00+00:00,PT60M
0,0,0,0,2007-01-08T03:00:00+00:00,PT60M
0,0,0,0,2007-01-08T04:00:00+00:00,PT60M
0,0,0,0,2007-01-08T05:00:00+00:00,PT60M
7,26,9,16,2007-01-08T06:00:00+00:00,PT60M
73,137,94,135,2007-01-08T07:00:00+00:00,PT60M
87,534,245,420,2007-01-08T08:00:00+00:00,PT60M
102,649,354,580,2007-01-08T09:00:00+00:00,PT60M
108,706,416,669,2007-01-08T10:00:00+00:00,PT60M
176,440,371,534,2007-01-08T11:00:00+00:00,PT60M
74,797,397,670,2007-01-08T12:00:00+00:00,PT60M
134,330,246,360,2007-01-08T13:00:00+00:00,PT60M
81,306,137,230,2007-01-08T14:00:00+00:00,PT60M
15,146,30,68,2007-01-08T15:00:00+00:00,PT60M
0,0,0,0,2007-01-08T16:00:00+00:00,PT60M
0,0,0,0,2007-01-08T17:00:00+00:00,PT60M
0,0,0,0,2007-01-08T18:00:00+00:00,PT60M
0,0,0,0,2007-01-08T19:00:00+00:00,PT60M
0,0,0,0,2007-01-08T20:00:00+00:00,PT60M
0,0,0,0,2007-01-08T21:00:00+00:00,PT60M
0,0,0,0,2007-01-08T22:00:00+00:00,PT60M
